PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
392,0,0,0,-3.42,32,0,0,0,0
393,0,0,0,-2.44,32.2,0,0,0,0
394,0,0,0,-1.46,32.39,0,0,0,0
395,0,0,0,-0.47,32.56,0,0,0,0
396,0,0,0,0.51,32.71,0,0,0,0
397,0,0,0,1.5,32.85,0,0,0,0
398,0,0,0,1.55,32.86,0,0,0,0
399,0,0,0,2.55,32.92,0,0,0,0
400,0,0,0,3.55,32.94,0,0,0,0
401,0,0,0,4.55,32.94,0,0,0,0
402,0,0,0,5.55,32.92,0,0,0,0
403,0,0,0,6.55,32.89,0,0,0,0
404,0,0,0,7.55,32.84,0,0,0,0
405,0,0,0,8.55,32.77,0,0,0,0
406,0,0,0,9.55,32.7,0,0,0,0
407,0,0,0,10.54,32.62,0,0,0,0
408,0,0,0,11.54,32.53,0,0,0,0
409,0,0,0,12.53,32.43,0,0,0,0
410,0,0,0,13.53,32.33,0,0,0,0
411,0,0,0,14.52,32.22,0,0,0,0
412,0,0,0,15.52,32.12,0,0,0,0
413,0,0,0,16.51,32.01,0,0,0,0
414,0,0,0,16.76,31.98,0,0,0,0
415,0,0,0,17.76,31.91,0,0,0,0
416,0,0,0,18.76,31.87,0,0,0,0
417,0,0,0,19.76,31.85,0,0,0,0
418,0,0,0,20.76,31.84,0,0,0,0
419,0,0,0,21.76,31.86,0,0,0,0
420,0,0,0,22.76,31.89,0,0,0,0
421,0,0,0,23.76,31.93,0,0,0,0
422,0,0,0,24.76,31.97,0,0,0,0
423,0,0,0,25.76,32,0,0,0,0
424,0,0,0,26.38,32.01,0,0,0,0
425,0,0,0,27.38,32.02,0,0,0,0
426,0,0,0,28.38,32.02,0,0,0,0
427,0,0,0,29.38,32.02,0,0,0,0
428,0,0,0,30.38,32.02,0,0,0,0
429,0,0,0,31.38,32.02,0,0,0,0
430,0,0,0,32.38,32.02,0,0,0,0
431,0,0,0,33.38,32.03,0,0,0,0
432,0,0,0,34.38,32.03,0,0,0,0
433,0,0,0,35.38,32.03,0,0,0,0
434,0,0,0,36.38,32.03,0,0,0,0
435,0,0,0,37.38,32.03,0,0,0,0
436,0,0,0,38.38,32.03,0,0,0,0
437,0,0,0,39.38,32.04,0,0,0,0
438,0,0,0,40.38,32.04,0,0,0,0
439,0,0,0,41.38,32.04,0,0,0,0
440,0,0,0,42.38,32.04,0,0,0,0
441,0,0,0,43.38,32.04,0,0,0,0
442,0,0,0,44.38,32.04,0,0,0,0
443,0,0,0,45.38,32.05,0,0,0,0
444,0,0,0,46.38,32.05,0,0,0,0
445,0,0,0,47.38,32.05,0,0,0,0
446,0,0,0,48.38,32.05,0,0,0,0
447,0,0,0,49.38,32.05,0,0,0,0
448,0,0,0,50.38,32.05,0,0,0,0
449,0,0,0,51.38,32.05,0,0,0,0
450,0,0,0,52.38,32.04,0,0,0,0
451,0,0,0,53.38,32.04,0,0,0,0
452,0,0,0,54.38,32.03,0,0,0,0
453,0,0,0,55.38,32.02,0,0,0,0
454,0,0,0,56.38,32.02,0,0,0,0
455,0,0,0,57.38,32.01,0,0,0,0
456,0,0,0,58.38,32.01,0,0,0,0
457,0,0,0,59.38,32,0,0,0,0
458,0,0,0,60.38,31.99,0,0,0,0
459,0,0,0,61.38,31.99,0,0,0,0
460,0,0,0,61.9,31.99,0,0,0,0
461,0,0,0,8.44,-34.07,0,0,0,0
462,0,0,0,8.37,-33.07,0,0,0,0
463,0,0,0,8.29,-32.07,0,0,0,0
464,0,0,0,8.22,-31.07,0,0,0,0
465,0,0,0,8.14,-30.08,0,0,0,0
466,0,0,0,8.07,-29.08,0,0,0,0
467,0,0,0,8,-28.08,0,0,0,0
468,0,0,0,7.92,-27.09,0,0,0,0
469,0,0,0,7.85,-26.09,0,0,0,0
470,0,0,0,7.77,-25.09,0,0,0,0
471,0,0,0,7.7,-24.09,0,0,0,0
472,0,0,0,7.62,-23.1,0,0,0,0
473,0,0,0,7.55,-22.1,0,0,0,0
474,0,0,0,7.47,-21.1,0,0,0,0
475,0,0,0,7.4,-20.11,0,0,0,0
476,0,0,0,7.32,-19.11,0,0,0,0
477,0,0,0,7.25,-18.11,0,0,0,0
478,0,0,0,7.17,-17.11,0,0,0,0
479,0,0,0,7.1,-16.12,0,0,0,0
480,0,0,0,7.02,-15.12,0,0,0,0
481,0,0,0,6.95,-14.12,0,0,0,0
482,0,0,0,6.87,-13.12,0,0,0,0
483,0,0,0,6.8,-12.13,0,0,0,0
484,0,0,0,6.73,-11.13,0,0,0,0
485,0,0,0,6.65,-10.13,0,0,0,0
486,0,0,0,6.58,-9.14,0,0,0,0
487,0,0,0,6.5,-8.14,0,0,0,0
488,0,0,0,6.43,-7.14,0,0,0,0
489,0,0,0,6.35,-6.14,0,0,0,0
490,0,0,0,6.31,-5.58,0,0,0,0
491,0,0,0,6.25,-4.58,0,0,0,0
492,0,0,0,6.18,-3.58,0,0,0,0
493,0,0,0,6.12,-2.58,0,0,0,0
494,0,0,0,6.05,-1.58,0,0,0,0
495,0,0,0,5.99,-0.59,0,0,0,0
496,0,0,0,5.93,0.41,0,0,0,0
497,0,0,0,5.86,1.41,0,0,0,0
498,0,0,0,5.8,2.41,0,0,0,0
499,0,0,0,5.73,3.41,0,0,0,0
500,0,0,0,5.67,4.4,0,0,0,0
501,0,0,0,5.61,5.4,0,0,0,0
502,0,0,0,5.54,6.4,0,0,0,0
503,0,0,0,5.48,7.4,0,0,0,0
504,0,0,0,5.41,8.4,0,0,0,0
505,0,0,0,5.35,9.39,0,0,0,0
506,0,0,0,5.29,10.39,0,0,0,0
507,0,0,0,5.27,10.65,0,0,0,0
508,0,0,0,5.59,11.6,0,0,0,0
509,0,0,0,5.98,12.52,0,0,0,0
510,0,0,0,6.41,13.42,0,0,0,0
511,0,0,0,6.88,14.3,0,0,0,0
512,0,0,0,7.35,15.19,0,0,0,0
513,0,0,0,7.86,16.01,0,0,0,0
514,0,0,0,8.09,16.38,0,0,0,0
515,0,0,0,8.62,17.15,0,0,0,0
516,0,0,0,9.23,17.95,0,0,0,0
517,0,0,0,9.9,18.69,0,0,0,0
518,0,0,0,10.61,19.39,0,0,0,0
519,0,0,0,11.35,20.06,0,0,0,0
520,0,0,0,12.13,20.69,0,0,0,0
521,0,0,0,12.49,20.95,0,0,0,0
522,0,0,0,13.27,21.57,0,0,0,0
523,0,0,0,14.1,22.12,0,0,0,0
524,0,0,0,14.97,22.62,0,0,0,0
525,0,0,0,15.86,23.08,0,0,0,0
526,0,0,0,16.76,23.5,0,0,0,0
527,0,0,0,16.91,23.56,0,0,0,0
528,0,0,0,17.8,24.02,0,0,0,0
529,0,0,0,18.75,24.34,0,0,0,0
530,0,0,0,19.72,24.58,0,0,0,0
531,0,0,0,20.7,24.75,0,0,0,0
532,0,0,0,21.7,24.87,0,0,0,0
533,0,0,0,22.05,24.9,0,0,0,0
534,0,0,0,23.05,24.92,0,0,0,0
535,0,0,0,24.05,24.93,0,0,0,0
536,0,0,0,25.05,24.94,0,0,0,0
537,0,0,0,26.05,24.95,0,0,0,0
538,0,0,0,27.05,24.96,0,0,0,0
539,0,0,0,28.05,24.97,0,0,0,0
540,0,0,0,29.05,24.98,0,0,0,0
541,0,0,0,30.05,24.99,0,0,0,0
542,0,0,0,31.05,25.01,0,0,0,0
543,0,0,0,32.05,25.02,0,0,0,0
544,0,0,0,33.05,25.03,0,0,0,0
545,0,0,0,34.05,25.04,0,0,0,0
546,0,0,0,35.05,25.05,0,0,0,0
547,0,0,0,36.05,25.06,0,0,0,0
548,0,0,0,37.05,25.07,0,0,0,0
549,0,0,0,38.05,25.08,0,0,0,0
550,0,0,0,39.05,25.09,0,0,0,0
551,0,0,0,40.05,25.11,0,0,0,0
552,0,0,0,41.05,25.12,0,0,0,0
553,0,0,0,42.05,25.13,0,0,0,0
554,0,0,0,43.05,25.14,0,0,0,0
555,0,0,0,44.05,25.15,0,0,0,0
556,0,0,0,45.05,25.16,0,0,0,0
557,0,0,0,46.05,25.17,0,0,0,0
558,0,0,0,47.05,25.18,0,0,0,0
559,0,0,0,48.05,25.2,0,0,0,0
560,0,0,0,49.05,25.21,0,0,0,0
561,0,0,0,50.05,25.22,0,0,0,0
562,0,0,0,51.05,25.23,0,0,0,0
563,0,0,0,52.05,25.22,0,0,0,0
