41.699811	0.006325	-0.533431	-0.557443	
41.800405	0.008294	-0.675460	-0.571204	
41.899860	0.010329	-0.790342	-0.573734	
42.000448	0.002887	-0.918110	-0.599336	
42.100691	0.008985	-1.069156	-0.609700	
42.200738	0.023499	-1.226771	-0.622203	
42.300111	0.007354	-1.377768	-0.621852	
42.399941	0.020313	-1.538357	-0.639543	
42.500747	0.020108	-1.670014	-0.645899	
42.599880	0.030922	-1.838431	-0.666144	
42.699804	0.058240	-1.968202	-0.654406	
42.800258	0.060414	-2.092335	-0.649955	
42.899955	0.056289	-2.211251	-0.630330	
42.999761	0.062209	-2.345336	-0.622053	
43.099831	0.052969	-2.467992	-0.602052	
43.200723	0.040025	-2.585661	-0.601569	
43.299861	0.050960	-2.691063	-0.593619	
43.400115	0.025585	-2.807771	-0.589480	
43.500428	0.020655	-2.902347	-0.589129	
43.600312	0.008283	-3.021967	-0.594174	
43.700220	-0.001672	-3.147149	-0.609544	
43.800488	0.015210	-3.277122	-0.628312	
43.900486	0.005128	-3.440966	-0.639441	
44.000600	0.016129	-3.554764	-0.653436	
44.100824	0.006252	-3.651186	-0.679000	
44.200670	0.018061	-3.742689	-0.682748	
44.300115	0.007143	-3.916640	-0.693877	
44.400084	0.006909	-4.055872	-0.716808	
44.500203	0.026708	-4.174006	-0.711724	
44.599990	0.030802	-4.319631	-0.726172	
44.700069	0.012723	-4.471136	-0.740129	
44.800267	0.007867	-4.598715	-0.770854	
44.900296	0.015718	-4.721851	-0.782734	
45.000307	0.009423	-4.878159	-0.790036	
45.099933	0.010185	-5.015672	-0.805133	
45.200368	0.022134	-5.156930	-0.828478	
45.299804	0.038623	-5.295575	-0.839359	
45.400134	0.057023	-5.418173	-0.842820	
45.500098	0.047840	-5.566392	-0.831145	
45.600402	0.043493	-5.696261	-0.831452	
45.700520	0.060137	-5.781549	-0.820090	
45.800427	0.036513	-5.822607	-0.811227	
45.900546	0.049851	-5.914402	-0.815829	
46.000494	0.057898	-6.030529	-0.792041	
46.100584	0.026413	-6.119623	-0.774775	
46.200252	0.019774	-6.219747	-0.795887	
46.300523	0.006694	-6.344613	-0.797286	
46.399855	0.002717	-6.418602	-0.811369	
46.500779	0.011523	-6.481163	-0.820680	
46.599969	0.011942	-6.621225	-0.835568	
